GPU_MODEL,GPU_MODEL_mean_encoded
amd integrated graphics,510.0
amd radeon 520,854.6
amd radeon 530,689.2727272727273
amd radeon 540,1006.6692857142858
amd radeon 540x,148.0
amd radeon 610m,468.75125
amd radeon 6600m,1287.9564285714284
amd radeon 660m,991.845
amd radeon 680m,1518.2917094017093
amd radeon 780m,1249.15
amd radeon graphics,682.6653685185186
amd radeon pro wx 3100,630.0
amd radeon r4,809.2692307692307
amd radeon r5,776.4984615384615
amd radeon r5 m335,3.0
amd radeon r7,657.529375
amd radeon r7 m270,1013.0
amd radeon r7 m445,600.0
amd radeon rx 540,349.0
amd radeon rx 5500m,839.1283783783783
amd radeon rx 5600m,1028.8023529411764
amd radeon rx 560x,663.2130434782608
amd radeon rx 580,691.0
amd radeon rx 6500m,825.0854545454546
amd radeon rx 6550m,826.6533333333333
amd radeon rx 6600 xt,1774.668888888889
amd radeon rx 6650m,1001.681111111111
amd radeon rx 6700m,1225.1936363636362
amd radeon rx 6700s,1252.915
amd radeon rx 6800m,1450.2136363636364
amd radeon rx 6800s,1820.2906382978724
amd radeon rx 7600s,1018.4666666666667
amd radeon rx vega 10,500.1609375
amd radeon rx vega 11,1729.7330000000002
amd radeon rx vega 5,1109.0
amd radeon rx vega 6,576.4701754385966
amd radeon rx vega 8,741.28248
amd radeon rx vega 870,1346.84375
amd radeon rx vega m gl,890.0
amd radeon vega,759.2308181818182
amd radeon vega 10,586.860588235294
amd radeon vega 6,425.1840677966102
amd radeon vega 7,710.174
amd radeon vega 8,502.4795918367347
amd radeon vega 9,1022.5741139240506
ati radeon hd 6850m,809.0
ati radeon hd 6970m,1595.0
ati radeon hd 7690m,685.0
ati radeon hd 7850m,682.0
intel arc a350m graphics,1532.7607142857144
intel arc a370m graphics,1181.6007462686566
intel hd graphics,799.694938271605
intel hd graphics 4000,455.6666666666667
intel hd graphics 4400,363.88162162162166
intel hd graphics 4600,464.44545454545454
intel hd graphics 5000,400.15621621621625
