SCREEN_SIZE_INCHES,SCREEN_SIZE_INCHES_mean_encoded
10.5,584.0098
10.8,602.0
11.6,1618.1896666666667
12,702.5714285714286
12.3,944.4386727272728
12.4,540.9846100917431
12.5,424.36017391304347
13,1352.4236163522014
13.3,940.6214496873223
13.4,1443.9561011904761
13.5,1206.2844466666666
13.9,1161.3057894736842
14,806.5738156229056
14.1,501.8925661375661
14.2,766.6666666666666
14.4,2056.64984962406
14.5,1473.0626315789473
15,1491.3063764044941
15.4,481.5
15.5,1890.0983333333331
15.6,958.332474053186
16,1671.3595386861314
16.1,1097.0849097472924
17,1908.9868098159511
17.3,1319.26025744649
18,3662.1423999999997
27,1016.4713333333333
unknown,1094.658181818182
