Series,Series_mean_encoded
aero,1946.49230964467
alienware,1897.552635431918
aorus,1721.191855670103
aspire,532.5002386934674
asus f series,851.6668
asus fx series,2495.2
asus g series,764.86
asus k series,560.75
asus q series,1048.6487974683546
asus unknown,538.0364516129033
asus x series,504.0
blade,2405.623399176955
conceptd,1872.5141176470588
corsair voyager,2149.357857142857
elitebook,739.9536550912302
elitebook x360,936.8330057803468
enduro,830.6691025641026
envy,967.6788636363636
envy x360,819.6321246923709
evoo,727.019625
expertbook,1194.6425348189414
force,1795.142857142857
g15,948.9823245614035
g16,1462.0552631578946
g3,891.7953684210526
g5,1050.7228813559323
g7,1457.6550684931508
galaxy book,912.2921848739496
galaxy book 2,2291.0
galaxy book 360,964.6736111111111
galaxy book pro,968.9931147540984
galaxy book pro 360,1239.1305105105105
galaxy tab pro,366.5
gateway,292.9239855072464
gigabyte a5,1042.1399999999999
gigabyte a7,995.1624999999999
gigabyte g5,906.9535507246377
gigabyte ultra,582.0862162162161
gram,1301.3928914348062
hp 200,617.8296721311475
hp 400,1094.0534782608695
hp chromebook,557.85
hp laptop,509.26769922425956
hp mobile thin client,1004.0
hp thin clients,623.8815384615384
ideapad,547.647981530343
ideapad duet,570.0935714285714
ideapad flex,638.01995697074
ideapad gaming,672.5421319796953
ideapad yoga,632.0
inspiron,749.1621609290751
katana,1251.5739066339067
latitude,907.967447786132
legion,1244.4483352872214
lenovo c940 yoga,1396.6666666666667
lenovo flex,670.2435714285714
lenovo v,436.0608333333333
lenovo v14,583.76640625
lenovo v15,629.0836363636364
leopard,1018.4424721878862
loq,1416.2125
modern,716.5983732057416
msi,1461.7006462585034
msi - alpha series,1357.81125
msi - bravo series,884.8362921348314
msi - creator pro series,3283.474318181818
msi - creator series,2144.6745765765763
msi - crosshair series,1319.3040776699029
msi - delta series,1197.1745454545455
msi - ge series,2165.480614692654
msi - gs series,2014.8158318739056
msi - gt series,4163.694393939394
msi - gv series,570.08
msi - we series,3107.200185185185
msi - wf series,1479.6223232323232
msi - ws series,3090.2481081081078
msi thin,853.6075000000001
msi- p series,1163.3977011494253
nitro,914.7201083423619
omen,1312.8687009063444
other,1040.3102222222224
pavilion,640.1514897824654
pavilion gaming,594.3903816793893
pavilion x360,618.8253278688524
porsch,1163.8174999999999
precision,1598.0266221374045
predator,1418.8236518771332
prestige,1096.7491292875989
probook,848.7774255691768
probook x360,857.9321875
pulse,1250.4406884057971
razer book,1206.3743689320388
rog,1503.882558139535
rog flow,1837.168811881188
rog zephyrus,1878.716741721854
samsung notebook,801.1054054054055
satellite,895.2676470588235
spectre,1192.952380952381
spectre x360,1445.8700204081633
spin,679.7182407407408
stealth,1986.7134705882352
studiobook,2195.447314814815
summit,1428.9925829383885
surface,2533.007
surface book,1620.831767857143
surface go,585.6383108108108
surface laptop,1192.9313018597998
surface laptop go,550.1521525885559
surface laptop studio,1974.8612962962961
surface pro,1150.923437796771
surface studio,2295.35
swift,773.6525777777778
swift go,858.9200000000001
sword,971.6108219178082
tecra,1080.5454545454545
thinkbook,859.5713174946005
thinkpad,1128.5658110014106
thompson neo,213.47166666666666
tracer,1075.576923076923
travelmate,802.5036257309941
travelmate spin,1175.1666666666667
tuf,995.4903
undefined,1377.274498141264
vaio,921.5961355932203
vector,2131.9301630434784
victus,897.1468552036199
vivobook,581.1495258620689
vivobook flip,588.932830882353
vivobook pro,1365.3062857142857
vivobook slate,750.8125
vostro,710.140294117647
wind,2652.556666666667
xpg xenia,1047.1336764705882
xps,1745.6520284697508
xps 2 in 1,1346.84375
yoga,1011.7758981748318
zbook,1893.3010218978102
zenbook,1121.8947472150815
zenbook flip,1032.0461510791367
zenbook pro,2073.256363636364
